"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 03-Aug-2022"
"NIFTY 50","19,462.80","19,538.85","19,436.45","19,381.65","19,517.00","135.35","0.70","280,799,561","280,860,180,431.30","19,991.85","16,747.70","0.10","12.18"
"CIPLA","1,171.00","1,238.70","1,171.00","1,165.85","1,206.95","41.10","3.53","8,359,856","10,167,424,064.32","1,238.70","852.00","18.46","16.97"
"INDUSINDBK","1,370.05","1,414.90","1,366.30","1,364.50","1,405.55","41.05","3.01","4,063,355","5,678,051,009.90","1,446.00","990.00","1.40","36.02"
"TECHM","1,153.95","1,181.85","1,142.80","1,142.80","1,173.05","30.25","2.65","3,580,506","4,183,105,159.80","1,270.75","981.05","-0.34","11.06"
"WIPRO","400.85","410.00","400.30","399.65","408.80","9.15","2.29","6,240,770","2,545,422,859.90","444.90","352.00","3.19","-7.08"
"BHARTIARTL","869.00","892.95","866.20","871.70","889.55","17.85","2.05","7,066,276","6,223,693,249.76","901.40","680.70","2.30","26.43"
"COALINDIA","232.80","236.50","230.50","230.05","234.40","4.35","1.89","6,725,977","1,570,448,369.73","263.40","205.75","-0.36","12.14"
"AXISBANK","947.00","954.85","934.65","935.55","950.80","15.25","1.63","12,376,086","11,712,232,746.96","990.00","707.70","-2.93","30.71"
"HCLTECH","1,130.45","1,152.35","1,126.00","1,125.50","1,142.50","17.00","1.51","3,315,303","3,797,115,984.99","1,202.60","882.00","-3.07","19.48"
"HDFCBANK","1,635.15","1,656.50","1,629.25","1,628.65","1,652.85","24.20","1.49","18,694,152","30,690,563,221.44","1,757.50","1,365.00","-1.36","15.78"
"HDFCLIFE","635.95","644.25","635.15","632.70","641.65","8.95","1.41","2,032,172","1,299,025,307.56","690.85","457.80","-2.87","19.09"
"RELIANCE","2,498.80","2,516.00","2,471.60","2,475.90","2,508.00","32.10","1.30","11,442,805","28,575,544,786.25","2,856.00","2,180.00","-4.90","-0.96"
"LTIM","4,885.00","4,980.95","4,881.20","4,869.90","4,928.90","59.00","1.21","238,713","1,180,972,889.25","5,430.00","4,121.00","-4.58","-"
"TCS","3,401.25","3,471.00","3,401.25","3,399.95","3,441.05","41.10","1.21","2,248,493","7,746,508,083.60","3,575.00","2,926.10","3.63","2.33"
"LT","2,605.00","2,635.00","2,598.50","2,598.10","2,628.00","29.90","1.15","1,101,278","2,886,824,072.52","2,690.00","1,773.00","5.56","46.96"
"INFY","1,368.90","1,385.90","1,362.00","1,364.30","1,377.90","13.60","1.00","5,712,345","7,870,868,805.15","1,672.60","1,185.30","2.56","-14.74"
"SBILIFE","1,258.95","1,287.15","1,254.00","1,253.75","1,265.00","11.25","0.90","1,609,140","2,034,516,159.00","1,340.35","1,054.00","-1.94","0.10"
"HINDALCO","464.00","466.00","453.90","453.30","457.10","3.80","0.84","7,576,934","3,484,253,099.90","504.00","358.80","7.18","11.25"
"KOTAKBANK","1,829.00","1,842.80","1,811.15","1,823.25","1,837.00","15.25","0.84","5,443,532","9,955,784,545.44","2,064.40","1,643.50","-2.07","0.25"
"TATASTEEL","119.40","119.75","118.00","118.20","119.00","0.80","0.68","22,303,966","2,652,387,636.72","124.30","95.00","5.64","10.85"
"UPL","604.50","607.35","600.45","600.45","604.35","3.90","0.65","1,698,361","1,025,691,158.73","807.00","590.10","-10.32","-18.84"
"ONGC","173.35","174.45","172.10","172.10","173.15","1.05","0.61","4,605,271","797,586,884.49","178.65","121.50","4.81","27.00"
"ICICIBANK","968.65","976.00","961.25","965.00","970.85","5.85","0.61","20,582,882","19,954,486,612.54","1,008.70","796.00","1.16","15.78"
"DIVISLAB","3,726.30","3,759.95","3,723.00","3,726.30","3,745.00","18.70","0.50","280,240","1,050,104,118.40","3,973.90","2,730.00","0.23","-4.26"
"BAJFINANCE","7,139.00","7,205.00","7,071.30","7,108.35","7,137.95","29.60","0.42","731,349","5,214,247,770.87","7,999.90","5,485.70","-7.95","-2.14"
"ULTRACEMCO","8,178.00","8,231.85","8,148.75","8,136.15","8,149.00","12.85","0.16","248,048","2,031,163,372.32","8,499.00","6,005.00","-3.00","20.41"
"ADANIPORTS","776.45","779.90","768.75","773.35","774.55","1.20","0.16","2,758,619","2,138,950,414.03","987.85","395.10","4.76","-4.32"
"ADANIENT","2,545.30","2,557.90","2,502.00","2,532.60","2,536.15","3.55","0.14","3,294,056","8,351,288,414.56","4,190.00","1,017.45","5.78","-5.80"
"BRITANNIA","4,790.00","4,832.00","4,766.65","4,798.95","4,802.55","3.60","0.08","401,478","1,926,203,118.84","5,270.35","3,564.10","-7.25","30.11"
"ASIANPAINT","3,338.15","3,373.30","3,323.00","3,336.35","3,337.60","1.25","0.04","519,248","1,736,905,329.92","3,582.90","2,685.85","-1.76","-3.86"
"TITAN","2,919.95","2,935.80","2,898.00","2,902.10","2,902.75","0.65","0.02","709,334","2,066,680,075.70","3,210.00","2,269.60","-6.50","19.39"
"JSWSTEEL","808.00","814.80","802.80","804.45","803.80","-0.65","-0.08","1,275,614","1,030,568,550.60","825.00","614.20","1.31","20.80"
"TATACONSUM","837.05","841.60","832.30","835.40","834.00","-1.40","-0.17","887,582","741,201,976.56","883.95","686.60","-1.21","6.37"
"ITC","456.30","461.40","454.25","456.05","455.25","-0.80","-0.18","6,834,401","3,117,306,984.12","499.70","303.65","-4.00","46.36"
"GRASIM","1,830.55","1,845.95","1,820.15","1,830.55","1,827.00","-3.55","-0.19","324,658","594,192,318.18","1,855.00","1,527.05","3.25","14.21"
"HINDUNILVR","2,551.30","2,558.95","2,535.05","2,551.30","2,545.20","-6.10","-0.24","1,359,318","3,460,008,037.20","2,769.65","2,393.00","-7.66","-3.76"
"APOLLOHOSP","5,025.00","5,036.45","4,964.00","4,996.30","4,983.00","-13.30","-0.27","358,846","1,790,128,390.22","5,364.00","3,987.85","-5.73","13.86"
"NESTLEIND","22,495.95","22,698.85","22,412.00","22,475.80","22,415.00","-60.80","-0.27","41,010","923,447,186.10","23,395.35","17,880.00","-2.79","12.71"
"DRREDDY","5,659.60","5,711.00","5,640.00","5,659.50","5,643.00","-16.50","-0.29","345,304","1,957,207,243.28","5,734.00","3,997.00","7.98","35.91"
"HEROMOTOCO","2,977.00","2,985.00","2,921.45","2,952.40","2,942.00","-10.40","-0.35","642,027","1,892,631,393.30","3,244.00","2,246.00","-7.17","6.28"
"M&M","1,481.00","1,502.45","1,415.75","1,469.15","1,463.50","-5.65","-0.38","8,066,091","11,885,869,053.96","1,594.80","1,123.40","-5.43","18.51"
"SUNPHARMA","1,129.00","1,145.00","1,121.05","1,141.00","1,136.50","-4.50","-0.39","3,527,805","4,000,636,704.15","1,169.70","856.80","9.25","24.35"
"TATAMOTORS","624.85","625.00","613.30","618.95","615.80","-3.15","-0.51","11,806,739","7,287,473,512.97","665.40","375.20","2.36","32.19"
"BAJAJFINSV","1,501.95","1,507.35","1,470.75","1,493.65","1,485.35","-8.30","-0.56","2,703,607","4,013,774,952.20","1,844.00","1,215.00","-8.25","-90.15"
"POWERGRID","248.00","249.05","246.60","248.70","247.25","-1.45","-0.58","5,554,793","1,373,589,213.04","267.00","186.35","-5.84","10.60"
"EICHERMOT","3,420.00","3,478.85","3,350.00","3,379.70","3,359.90","-19.80","-0.59","1,235,134","4,193,156,416.60","3,889.65","2,836.00","4.26","8.74"
"NTPC","221.70","222.20","217.60","220.10","218.00","-2.10","-0.95","12,879,897","2,832,031,752.36","226.65","152.60","10.78","40.07"
"MARUTI","9,560.00","9,616.00","9,427.00","9,543.70","9,447.00","-96.70","-1.01","540,470","5,149,392,781.40","10,036.95","8,076.05","-3.95","7.12"
"BPCL","368.15","370.85","360.05","368.00","360.50","-7.50","-2.04","3,278,751","1,190,809,575.69","397.90","288.05","-8.37","7.13"
"BAJAJ-AUTO","4,830.00","4,864.20","4,700.00","4,826.30","4,704.00","-122.30","-2.53","451,353","2,142,834,475.74","4,995.10","3,461.25","-4.18","17.42"
"SBIN","594.80","598.70","571.40","590.50","573.20","-17.30","-2.93","52,725,616","30,735,870,591.04","629.55","499.35","-3.24","7.96"
